date,ADDRESS_count,PRICE_mean,PRICE_median,tax_assessed_value_mean,tax_assessed_value_median,overpriced_adjusted_mean,overpriced_adjusted_median
2021-08-30,356,637549.9747191011,649900.0,522048.606741573,527715.0,93674.51975683891,91360.0
2021-08-31,324,639009.8858024691,649900.0,521817.5740740741,527560.0,94538.93,91775.0
2021-09-01,317,639121.810725552,649900.0,520768.119873817,527760.0,95117.7133105802,93280.0
2021-09-02,315,641230.0317460317,649900.0,524733.346031746,533170.0,94427.31506849315,95075.0
2021-09-03,338,641219.6272189349,649900.0,526368.8579881657,533435.0,94272.63492063493,94660.0
2021-09-04,340,639696.7970588235,649900.0,524708.3647058824,531605.0,94954.26729559748,93580.0
2021-09-05,338,639292.3402366864,649900.0,524864.7455621301,529875.0,94227.58544303797,92085.0
2021-09-06,319,641746.1253918495,649900.0,525258.4451410659,532370.0,95587.95302013423,93315.0
2021-09-07,314,642224.9872611465,649900.0,525349.5031847134,533185.0,95070.17465753424,92085.0
2021-09-08,313,640826.1853035144,649900.0,526653.1757188499,533170.0,93457.84589041096,89785.0
2021-09-09,333,634634.1561561562,645000.0,522366.04804804805,525510.0,92550.76602564103,89480.0
2021-09-10,367,634577.8174386921,645000.0,524168.53950953676,529130.0,92545.56936416186,88590.0
2021-09-11,374,634777.5347593583,645000.0,523828.9946524064,528465.0,93070.38636363637,88730.0
2021-09-12,365,635641.6383561643,645000.0,524090.5589041096,529350.0,93242.4664723032,89450.0
2021-09-13,348,634097.7126436782,639900.0,522357.4827586207,521895.0,92489.63803680982,88730.0
2021-09-14,322,637318.6801242236,645000.0,523902.12422360247,524625.0,92620.51,88730.0
2021-09-15,312,637244.4519230769,647000.0,523800.78205128206,522365.0,93492.77319587629,89830.0
2021-09-17,351,633621.452991453,638900.0,524500.4102564103,520170.0,90901.20972644378,86380.0
2021-09-18,358,632347.156424581,635000.0,523546.49162011174,519670.0,90859.85119047618,85490.0
2021-09-19,353,633246.4645892351,635000.0,522504.71388101985,517540.0,92658.9425981873,87080.0
2021-09-20,352,634615.4744318182,636950.0,523083.1647727273,518170.0,92981.29179331307,87080.0
2021-09-21,339,632381.2890855457,635000.0,520857.7994100295,516570.0,92632.0977917981,86020.0
2021-09-22,325,634982.2338461538,640000.0,520889.7969230769,517540.0,94102.02640264026,86710.0
2021-09-23,349,629331.1977077364,634900.0,516985.36962750717,512770.0,94519.44072948328,87080.0
2021-09-24,375,629991.376,630000.0,517256.81066666666,513880.0,94725.31444759207,87370.0
2021-09-26,368,630285.0434782609,629995.0,516824.42119565216,515480.0,95631.8818443804,87770.0
2021-09-27,352,628582.4375,629995.0,514861.04261363635,514400.0,95384.47289156627,86793.5
2021-09-28,340,629839.3088235294,630000.0,515199.75588235294,515480.0,95301.66771159874,86710.0
2021-09-29,328,628598.375,630000.0,513784.56402439025,515480.0,95863.16233766233,86793.5
2021-09-30,340,632209.5352941176,638950.0,517936.84411764704,519815.0,95998.871875,87555.0
2021-10-01,368,629798.3179347826,635000.0,519227.8179347826,519055.0,95306.72857142857,88540.0
2021-10-02,366,628903.8333333334,636950.0,518051.4398907104,516985.0,95515.47988505747,89030.0
2021-10-03,363,628589.2396694215,635000.0,518026.74104683194,515990.0,94767.61046511628,88540.0
2021-10-04,351,628664.6552706553,635000.0,516825.6894586895,514920.0,95546.22891566265,88920.0
2021-10-05,332,627010.1325301204,634950.0,513755.3825301205,513215.0,96058.9392971246,88980.0
2021-10-06,309,631788.0064724919,639900.0,517757.9190938511,517540.0,95928.17182130585,89520.0
2021-10-08,352,631955.3295454546,638950.0,522285.84375,519055.0,94463.9104477612,89160.0
2021-10-10,342,630983.7397660819,636950.0,520542.47660818713,517470.0,95135.59202453987,89505.0
2021-10-12,298,630391.5100671141,636950.0,517931.7986577181,515060.0,95683.83392226149,89670.0
2021-10-13,299,629693.5484949832,634900.0,517101.22408026754,514380.0,95882.52112676056,91285.0
2021-10-14,304,630567.7664473684,638950.0,518002.32236842107,517365.0,96143.34256055363,91730.0
2021-10-15,319,628453.7210031349,630000.0,516958.8902821317,515990.0,95830.20394736843,91285.0
2021-10-19,289,631282.9619377162,630000.0,517811.71626297577,516570.0,95071.0293040293,92230.0
2021-10-21,284,625667.9507042253,629900.0,511958.7570422535,514250.0,94979.89552238806,92365.0
2021-10-24,300,624412.2366666667,627250.0,513854.8566666667,515635.0,94541.77192982456,90840.0
2021-10-26,270,627406.0518518519,630000.0,514018.06296296295,517560.0,96583.734375,92505.0
2021-10-27,251,626759.015936255,629900.0,510923.4541832669,514050.0,97828.71308016877,93780.0
2021-10-31,271,636933.0479704797,649000.0,520814.9335793358,528100.0,98843.5078125,97219.5
2021-11-01,258,638214.7480620155,649000.0,518744.7945736434,529150.0,99443.29338842975,97985.0
2021-11-03,230,646350.5869565217,650000.0,521732.33478260867,530865.0,101878.57746478873,99250.0
2021-11-04,246,643562.662601626,649900.0,521549.94715447153,529365.0,100668.41484716158,99250.0
2021-11-05,256,637985.015625,649000.0,519161.70703125,525790.0,97691.6218487395,96375.0
2021-11-06,256,636597.03125,649000.0,515858.19140625,521175.0,98662.10924369747,97135.0
2021-11-08,248,635591.0887096775,649000.0,514259.94758064515,517140.0,98532.87826086956,96790.0
2021-11-09,225,636948.1288888889,649000.0,512546.47555555555,515200.0,99337.25120772947,99650.0
2021-11-10,211,639134.9952606636,649000.0,511240.3649289099,520880.0,101283.9170984456,102830.0
2021-11-11,214,637400.855140187,649299.0,510379.93925233645,519855.0,101342.00507614213,104600.0
2021-11-12,226,635662.7522123894,647000.0,509965.01769911504,520640.0,100278.922705314,103600.0
2021-11-13,229,638875.2052401747,649900.0,510800.5414847162,525060.0,101335.67942583733,104630.0
2021-11-14,215,637171.3162790698,650000.0,507236.3441860465,519310.0,101467.06666666667,103870.0
2021-11-15,205,636454.7951219513,650000.0,505742.36097560974,515200.0,102801.11229946524,104759.0
2021-11-17,174,635763.735632184,650000.0,498235.5,511480.0,107456.38853503185,108680.0
2021-11-20,181,632207.364640884,649000.0,501440.09392265195,511270.0,105317.52095808383,106700.0
2021-11-21,174,633780.1379310344,649000.0,501259.3505747126,511480.0,106111.04375,109160.0
2021-11-23,149,636424.6845637584,650000.0,495998.7046979866,509240.0,108974.4104477612,112670.0
2021-11-26,129,644140.1317829457,660000.0,497196.9147286822,511270.0,111998.39130434782,113830.0
2021-11-27,124,643960.7016129033,660000.0,497527.1935483871,512575.0,109835.40909090909,113875.0
2021-11-28,121,644762.2809917355,664900.0,498647.04132231406,513540.0,108449.3831775701,114500.0
2021-12-01,110,644578.9727272728,662450.0,495050.5909090909,510600.0,111132.01041666667,113875.0
2021-12-02,113,646004.7345132744,665000.0,498147.5663716814,510050.0,110387.9898989899,113830.0
2021-12-06,121,636966.7272727273,659000.0,495504.0082644628,510050.0,105555.6603773585,108495.0
2021-12-07,116,638080.801724138,649900.0,496363.8362068966,511210.0,104083.35643564357,104759.0
2021-12-10,107,639848.1028037383,649900.0,500766.7476635514,512420.0,104615.32631578947,109330.0
2021-12-11,108,643953.1296296297,662500.0,505194.8333333333,512940.0,104610.90625,110840.0
2021-12-12,105,645667.0285714286,665000.0,502854.20952380955,513460.0,105692.46739130435,110840.0
2021-12-13,100,637861.38,662500.0,494434.62,510660.0,104264.79310344828,109330.0
2021-12-15,82,642866.3170731707,666000.0,484915.26829268294,509340.0,111309.37681159421,114950.0
2021-12-16,76,646647.8289473684,666000.0,487178.44736842107,509340.0,112131.625,115655.0
2021-12-17,82,637770.5365853659,644500.0,482750.14634146343,506220.0,112317.22535211267,116360.0
2021-12-18,83,635098.4578313254,649000.0,481340.8674698795,503960.0,111454.59722222222,113947.5
2021-12-19,82,643572.8536585366,657500.0,486538.1951219512,510660.0,114643.56338028169,116699.0
2021-12-20,76,651210.9868421053,668500.0,487128.09210526315,511480.0,118971.55384615385,121540.0
2021-12-21,65,646975.3384615384,670000.0,482661.46153846156,508480.0,118739.5090909091,121540.0
2021-12-23,62,657328.4032258064,674999.5,488275.2419354839,511845.0,119948.17647058824,122160.0
2022-02-03,52,646392.5,644950.0,503309.42307692306,519520.0,114128.23404255319,111730.0
2022-02-04,67,629502.4477611941,628800.0,497060.5970149254,512420.0,109634.04838709677,110270.0
2022-02-07,58,633437.5172413794,639000.0,496181.8965517241,513150.0,108702.47169811321,110290.0
2022-02-10,48,639520.3541666666,649000.0,493937.9166666667,508395.0,114077.76744186046,119740.0
2022-02-12,83,632964.4939759036,649000.0,519436.9879518072,519730.0,107433.86075949368,104950.0
2022-02-14,63,648814.1111111111,665000.0,531579.6825396825,536960.0,109326.45762711864,106770.0
2022-02-15,49,652460.7142857143,674900.0,533690.2040816327,542960.0,111370.80434782608,108855.0
2022-02-18,68,656803.2352941176,649925.0,529746.9117647059,522940.0,117735.20967741935,118450.0
2022-02-20,64,648056.765625,647950.0,524416.71875,519760.0,114867.55932203389,115370.0
2022-02-26,79,649816.5569620254,649999.0,527270.8860759494,520390.0,111273.48611111111,114625.0
2022-02-27,77,650214.5194805195,649999.0,523854.02597402595,519920.0,113386.82608695653,116760.0
2022-02-28,62,647929.4838709678,655000.0,523670.32258064515,519825.0,107370.38888888889,113600.0
2022-03-04,79,656265.1898734177,664900.0,519993.5443037975,520390.0,119505.24285714286,115690.0
2022-03-07,68,653042.6176470588,650000.0,521135.4411764706,531655.0,115749.88524590163,115120.0
2022-03-10,72,674592.0694444445,687000.0,539799.7222222222,553255.0,121397.48484848485,121615.0
2022-03-12,91,658583.967032967,675000.0,535040.1098901099,544030.0,111569.01176470588,122610.0
2022-03-14,71,665809.0281690141,685000.0,540508.1690140845,550350.0,113474.26865671642,129560.0
2022-03-15,55,658423.3818181818,675000.0,539726.3636363636,533710.0,112023.38461538461,131590.0
2022-03-18,90,668133.2666666667,694495.0,540888.5555555555,561215.0,111736.41666666667,123755.0
2022-03-21,84,670648.7380952381,685000.0,535420.7142857143,552695.0,116943.80263157895,121985.0
2022-03-25,96,657677.2708333334,677450.0,534735.625,538740.0,108972.23863636363,121550.0
2022-03-26,96,667665.25,687450.0,536461.5625,543565.0,117985.375,121550.0
2022-03-28,84,665547.1904761905,677000.0,532506.7857142857,543565.0,119776.79220779221,122010.0
2022-03-31,80,657027.6,675000.0,527178.75,538290.0,114364.06944444444,116155.0
2022-04-01,111,665600.8738738738,675000.0,533050.8108108108,542950.0,119310.04,119765.0
2022-04-02,116,662165.474137931,675000.0,530464.4827586206,526230.0,119002.49523809523,119990.0
2022-04-03,111,659606.2612612613,674995.0,528847.2972972973,524670.0,117321.92,118335.0
2022-04-07,90,662959.6444444444,670000.0,523629.8888888889,524635.0,127195.21686746988,129630.0
2022-04-09,120,666359.95,675000.0,530208.3333333334,534355.0,126375.10714285714,129770.0
2022-04-12,76,676953.2236842106,692450.0,536419.7368421053,545025.0,124483.57352941176,127665.0
2022-04-13,71,673713.8028169014,695000.0,530408.8732394367,542800.0,126333.14285714286,128950.0
2022-04-16,117,669329.5555555555,679900.0,531528.0341880342,533710.0,126319.10185185185,126655.0
2022-04-19,79,680034.1265822785,684900.0,531850.0,533710.0,131092.33333333334,133010.0
2022-04-22,150,670954.86,677000.0,537417.6,535505.0,126418.62937062937,128760.0
2022-04-23,157,666706.9299363057,675000.0,534301.0828025477,533400.0,125767.22,128645.0
2022-04-24,148,670222.2162162162,684950.0,537710.472972973,541340.0,125454.63120567377,127730.0
2022-04-26,104,679281.375,679950.0,540820.9615384615,534985.0,128631.42268041238,129930.0
2022-04-27,89,677018.2471910112,680000.0,536598.0898876404,533400.0,128907.91463414633,133585.0
2022-04-28,119,675744.4453781513,689000.0,537616.7226890756,532650.0,126857.4862385321,132800.0
2022-04-30,155,672072.5548387096,680000.0,534108.8387096775,530070.0,127986.35915492958,130455.0
2022-05-01,139,669457.5971223022,679000.0,531815.9712230216,523840.0,127192.14960629921,130570.0
2022-05-02,132,669507.6212121212,677000.0,529887.6515151515,522115.0,128758.775,133615.0
2022-05-03,108,668405.4537037037,675000.0,527051.8518518518,522115.0,130413.47474747474,136140.0
2022-05-06,153,672365.0130718955,679000.0,526922.0261437908,529060.0,131862.92753623187,136315.0
2022-05-08,140,670805.3214285715,685000.0,522478.71428571426,525470.0,133081.9516129032,139300.0
2022-05-11,105,667955.9619047618,684888.0,518023.14285714284,520330.0,131322.72826086957,136270.0
